practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
10002	8102	DD2 5NH	NO 34464 34231	334464	734231	56.49558	-3.0660551
10017	6620	PH7 3SA	NN 86284 21318	286284	721318	56.370449	-3.8426253
10036	4758	PH15 2BL	NN 85313 48970	285313	748970	56.618507	-3.8705215
10106	6075	DD5 1DU	NO 45697 31077	345697	731077	56.46868	-2.8829746
10125	4385	PH11 8EQ	NO 24669 48039	324669	748039	56.618133	-3.2291243
10182	9188	DD11 1AD	NO 64410 40936	364410	740936	56.559036	-2.5806257
10233	6243	DD11 1EN	NO 64440 41120	364440	741120	56.560692	-2.5801629
10286	4506	DD11 1ES	NO 64540 41115	364540	741115	56.560654	-2.5785353
10322	7960	DD11 1ES	NO 64540 41115	364540	741115	56.560654	-2.5785353
10361	10708	PH3 1JH	NN 93787 12528	293787	712528	56.293259	-3.7176675
10407	7827	PH10 6EF	NO 17448 44644	317448	744644	56.586424	-3.3456702
10445	3744	PH10 6BT	NO 17786 44931	317786	744931	56.589061	-3.34026
10498	8409	DD9 7AN	NO 60205 60421	360205	760421	56.733735	-2.6520473
10638	13103	DD7 7RB	NO 54889 34496	354889	734496	56.500365	-2.7343909
10708	2698	PH6 2LW	NN 77950 21455	277950	721455	56.369601	-3.9775264
10746	5973	PH13 9DD	NO 22288 39940	322288	739940	56.545002	-3.2654788
10835	4183	PH7 3SA	NN 86284 21318	286284	721318	56.370449	-3.8426253
11005	4676	DD4 6PP	NO 41220 31422	341220	731422	56.471241	-2.9557061
11058	8526	DD1 1PF	NO 39855 30093	339855	730093	56.45913	-2.977552
11096	4772	DD2 2HZ	NO 38077 31176	338077	731176	56.468628	-3.0066554
11128	9404	DD4 6EL	NO 41116 31055	341116	731055	56.467931	-2.9573109
11166	8931	DD3 8DB	NO 39643 31960	339643	731960	56.475874	-2.9814241
11171	10944	DD2 4AD	NO 35689 30940	335689	730940	56.466187	-3.0453489
11289	8763	DD4 6DG	NO 41060 30956	341060	730956	56.467035	-2.9581973
11306	9231	DD5 1EP	NO 46022 30839	346022	730839	56.466579	-2.877651
11363	11662	DD1 5LA	NO 38998 29893	338998	729893	56.457223	-2.9914091
11382	9482	DD4 6RB	NO 40976 31092	340976	731092	56.468246	-2.9595912
11414	5213	DD1 4JH	NO 39053 29853	339053	729853	56.456871	-2.9905074
11486	7689	DD4 6QY	NO 40907 31216	340907	731216	56.469351	-2.9607391
11645	8535	DD4 6QY	NO 40907 31216	340907	731216	56.469351	-2.9607391
11650	6095	DD4 6SW	NO 41053 31442	341053	731442	56.471399	-2.9584209
11823	8502	DD3 8NE	NO 38968 33292	338968	733292	56.487751	-2.9926925
11861	7934	DD3 6NF	NO 40032 31120	340032	731120	56.468378	-2.9749168
11931	6135	DD4 7AA	NO 41126 31672	341126	731672	56.473474	-2.9572881
12210	3613	DD2 2HZ	NO 38077 31176	338077	731176	56.468628	-3.0066554
12281	7567	DD1 1PB	NO 39931 29929	339931	729929	56.457667	-2.9762812
12831	3965	DD2 3BR	NO 37897 31426	337897	731426	56.47085	-3.009636
12901	4204	DD4 0HU	NO 43130 33441	343130	733441	56.489612	-2.9251493
